time,hs_300,zz_500,sz_bond,sw_gold,nh_goods,us_spx,hk_hsi
2009/1/5,1882.959,2020.243,115.811,4356.85,908.6223,927.45,15563.3096
2009/1/6,1942.795,2091.892,115.731,4409.65,935.6748,934.7,15509.5098
2009/1/7,1931.178,2104.922,115.833,4316.12,938.7079,906.65,14987.46
2009/1/8,1887.991,2052.3,115.794,4122.72,923.318,909.73,14415.9102
2009/1/9,1918.365,2107.766,115.773,4200.37,943.6233,890.35,14377.4404
2009/1/12,1920.687,2137.841,115.745,4273.13,954.893,870.26,13971
2009/1/13,1876.185,2081.672,116.101,4072.09,928.8248,871.79,13668.0498
2009/1/14,1955.244,2160.064,115.97,4169.5,956.9886,842.62,13704.6104
2009/1/15,1954.874,2181.061,115.248,4115.09,942.0633,843.74,13242.96
2009/1/16,1990.214,2195.634,115.08,4235.14,958.1233,850.12,13255.5098
2009/1/19,2012.465,2192.807,114.98,4228.07,960.3293,850.12,13339.9902
2009/1/20,2025.19,2214.839,114.288,4205.94,953.9808,805.22,12959.7695
2009/1/21,2021.71,2217.626,113.126,4213.37,946.2071,840.24,12583.6299
2009/1/22,2044.551,2256.367,113.707,4262.45,937.9421,827.5,12657.9902
2009/1/23,2032.682,2238.082,113.918,4254.12,939.134,831.95,12578.5996
2009/2/2,2057.063,2306.769,114.033,4668.01,932.2355,825.44,12861.4902
2009/2/3,2108.91,2369.654,113.68,4758.04,957.0488,838.51,12776.8896
2009/2/4,2166.414,2423.887,113.376,4836,967.3047,832.23,13063.8896
2009/2/5,2150.971,2384.764,112.581,4780.63,964.2935,845.85,13178.9004
2009/2/6,2237.28,2493.74,112.883,5170.8,987.8181,868.6,13655.04
2009/2/9,2296.672,2579.228,112.908,5493.05,1006.9423,869.89,13769.0596
2009/2/10,2326.755,2653.213,112.887,5652.52,1005.0571,827.16,13880.6396
2009/2/11,2331.138,2658.05,113.136,5808.26,978.0183,833.74,13539.21
2009/2/12,2318.343,2707.922,113.356,6027.37,988.4442,835.19,13228.2998
2009/2/13,2399.065,2805.01,113.518,6145.37,994.1304,826.84,13554.6699
2009/2/16,2462.245,2854.444,113.613,6101.02,975.6566,826.84,13455.8799
2009/2/17,2385.293,2738.58,113.537,6335.15,981.6666,789.17,12945.4004
2009/2/18,2275.843,2632.908,113.552,6349.42,953.4211,788.42,13016
2009/2/19,2298.412,2687.489,113.632,6255.88,948.7009,778.94,13023.3604
2009/2/20,2344.32,2776.955,113.772,6364.35,951.8685,770.05,12699.1699
2009/2/23,2410.481,2871.792,113.72,6925.92,969.7542,743.33,13175.0996
2009/2/24,2301.849,2754.24,113.888,7285.37,954.4867,773.14,12798.5195
2009/2/25,2304.251,2771.098,113.971,7063.27,967.5412,764.9,13005.0801
2009/2/26,2190.185,2571.276,113.958,6485.63,971.4992,752.83,12894.9404
2009/2/27,2140.489,2416.949,113.959,6352.94,964.1194,735.09,12811.5703
2009/3/2,2164.666,2478.808,113.984,6819.71,963.6479,700.82,12317.46
2009/3/3,2142.154,2499.826,113.871,6487.61,963.698,696.33,12033.8799
2009/3/4,2285.149,2651.405,113.833,6629.31,978.5118,712.87,12331.1504
2009/3/5,2304.919,2671.575,113.658,6718.84,980.1528,682.55,12211.2402
2009/3/6,2286.576,2653.469,113.649,6771.62,982.0397,683.38,11921.52
2009/3/9,2202.527,2536.01,113.776,6423.62,972.6993,676.53,11344.5801
2009/3/10,2240.782,2601.417,113.854,6307.92,981.1261,719.6,11694.0498
2009/3/11,2220.38,2587.371,113.897,6310.86,978.5339,721.36,11930.6602
2009/3/12,2215.7,2597.232,113.944,6184.89,976.1161,750.74,12001.5303
2009/3/13,2205.422,2569.629,113.946,6161.93,981.321,756.55,12525.7998
2009/3/16,2241.614,2603.058,114.079,6196.2,995.527,753.89,12976.71
2009/3/17,2322.403,2699.594,114.187,6383.99,1002.3966,778.12,12878.0898
2009/3/18,2332.652,2734.547,114.247,6488.5,1003.3775,794.35,13117.1699
2009/3/19,2382.564,2797.155,114.262,6887.51,1016.2917,784.04,13130.9199
2009/3/20,2379.838,2784.106,114.262,7353.49,1037.3235,768.54,12833.5098
2009/3/23,2439.395,2843.879,114.218,8069.74,1066.1293,822.92,13447.4199
2009/3/24,2451.783,2865.333,114.171,7730.4,1050.5103,806.12,13910.3398
2009/3/25,2401.327,2785.664,114.183,7788.54,1042.9947,813.88,13622.1104
2009/3/26,2479.789,2853.411,114.077,8228.73,1062.7852,832.86,14108.9805
2009/3/27,2498.931,2877.88,114.099,8196.46,1047.7792,815.94,14119.5
2009/3/30,2484.487,2883.214,114.138,8108.91,1045.5174,787.53,13456.3301
2009/3/31,2507.789,2914.128,114.16,8100.33,1052.3202,797.87,13576.0195
2009/4/1,2548.222,2962.839,114.212,8112.29,1052.1798,811.08,13519.54
2009/4/2,2576.4,2965.735,114.229,8036.57,1067.5656,834.38,14521.9697
2009/4/3,2570.503,2934.253,114.152,7637.3,1068.8061,842.5,14545.6904
2009/4/7,2576.95,2968.519,114.053,7725.73,1097.3459,815.55,14928.9697
2009/4/8,2479.348,2867.168,114.034,7546.82,1077.0454,825.16,14474.8604
2009/4/9,2517.669,2915.024,114.001,7513.18,1099.351,856.56,14901.4102
2009/4/10,2595.53,3009.376,114.014,7869.9,1120.4054,856.56,14901.4102
2009/4/13,2656.518,3050.372,113.986,7853.1,1129.8813,858.73,14901.4102
2009/4/14,2676.872,3099.429,113.906,7936.38,1119.125,841.5,15580.1602
2009/4/15,2686.99,3143.821,113.86,7852.7,1132.8909,852.06,15669.6201
2009/4/16,2687.106,3159.26,113.897,7900.78,1149.5173,865.3,15582.9902
2009/4/17,2650.691,3119.419,113.986,7528.68,1142.8187,869.6,15601.2695
2009/4/20,2707.667,3205.884,114.071,7610.17,1128.8745,832.39,15750.9102
2009/4/21,2675.442,3205.076,114.143,7727.55,1101.0765,850.08,15285.8896
2009/4/22,2576.281,3042.638,114.167,7335.68,1093.5515,843.55,14878.4502
2009/4/23,2593.564,3059.709,114.134,7312.87,1102.2527,851.92,15214.46
2009/4/24,2572.888,3036.761,114.18,7615.37,1079.7734,866.23,15258.8496
2009/4/27,2513.292,2916.114,114.22,7598.93,1069.1939,857.51,14840.4199
2009/4/28,2518.531,2959.952,114.246,7066.89,1067.6975,855.16,14555.1104
2009/4/29,2605.37,3040.04,114.333,7115.91,1084.0697,873.64,14956.9502
2009/4/30,2622.926,3086.217,114.331,7077.03,1098.6874,872.81,15520.9902
2009/5/4,2714.301,3190.254,114.433,7225.89,1134.1055,907.24,16381.0498
2009/5/5,2727.014,3220.615,114.494,7336.53,1120.5851,903.8,16430.0801
2009/5/6,2764.979,3264.579,114.486,7279.98,1136.2731,919.53,16834.5703
2009/5/7,2767.076,3242.626,114.612,7327.49,1136.1037,907.39,17217.8906
2009/5/8,2789.219,3257.588,114.635,7219.27,1145.1288,929.23,17389.8691
2009/5/11,2725.316,3134.573,114.724,6901.07,1113.096,909.24,17087.9492
2009/5/12,2788.562,3212.139,114.775,7007.28,1122.6597,908.35,17153.6406
2009/5/13,2814.005,3234.151,114.933,7232.02,1133.0721,883.92,17059.6191
2009/5/14,2792.597,3246.557,114.96,7209.48,1110.7185,893.07,16541.6895
2009/5/15,2796.116,3270.738,114.987,7196.23,1118.2527,882.88,16790.6992
2009/5/18,2810.573,3295.651,115.068,7214.52,1104.4834,909.71,17022.91
2009/5/19,2840.084,3325.531,115.129,7257.43,1126.0559,908.13,17544.0293
2009/5/20,2812.865,3306.474,115.168,7398.14,1119.6932,903.47,17475.8398
2009/5/21,2750.01,3247.475,115.145,7761.97,1113.5374,888.33,17199.4902
2009/5/22,2740.677,3254.534,115.062,7507.39,1119.8641,887,17062.5195
2009/5/25,2752.716,3271.501,115.041,7440.04,1122.9489,887,17121.8203
2009/5/26,2719.764,3274.849,115.02,7311.02,1113.2426,910.33,16991.5605
2009/5/27,2759.712,3276.748,115.059,7482.44,1122.4367,893.06,17885.2695
2009/6/1,2858.342,3332.337,115.068,8212.61,1154.6457,942.87,18888.5898
2009/6/2,2865.099,3353.922,115.058,8499.31,1155.8464,944.74,18389.0801
2009/6/3,2939.387,3380.188,115.102,9023.53,1166.9957,931.76,18576.4707
2009/6/4,2953.751,3375.873,115.097,8851.28,1154.4208,942.46,18502.7695
2009/6/5,2939.306,3355.778,115.088,9236.91,1174.2482,940.09,18679.5293
2009/6/8,2948.478,3350.238,115.101,8997.89,1163.4683,939.14,18253.3906
2009/6/9,2960.556,3366.911,115.068,8837.84,1169.4466,942.43,18058.4902
2009/6/10,2989.595,3403.208,115.063,8921.26,1173.2829,939.15,18785.6602
2009/6/11,2961.629,3382.997,115.025,8692.26,1171.182,944.89,18791.0293
2009/6/12,2906.286,3309.587,114.971,8429.85,1164.2515,946.21,18889.6797
2009/6/15,2966.192,3356.714,114.991,8245.92,1148.8553,923.72,18498.9609
2009/6/16,2961.22,3349.35,115.003,8683.29,1149.4032,911.97,18165.5
2009/6/17,3010.588,3403.962,115.016,8842.21,1150.3579,910.71,18084.5996
2009/6/18,3057.428,3431.281,115.019,8847.56,1146.0966,918.37,17776.6602
2009/6/19,3080.001,3434.055,115.016,8709.9,1147.6506,921.23,17920.9297
2009/6/22,3082.563,3405.13,114.977,9069.2,1134.7705,893.04,18059.5508
2009/6/23,3083.895,3392.112,114.945,8942.24,1132.8891,895.1,17538.3691
2009/6/24,3120.73,3431.444,114.822,9634.84,1136.5497,900.94,17892.1504
2009/6/25,3117.921,3427.473,114.767,9615.03,1144.0692,920.26,18275.0293
2009/6/26,3128.421,3448.461,114.768,9587.59,1157.1128,918.9,18600.2598
2009/6/29,3179.972,3476.788,114.783,9421.02,1149.8541,927.23,18528.5098
2009/6/30,3166.474,3452.263,114.727,9916.06,1159.3138,919.32,18378.7305
2009/7/1,3237.903,3503.754,114.665,9937.47,1160.6982,923.33,18378.7305
2009/7/2,3282.359,3540.509,114.643,10407.89,1155.1721,896.42,18178.0508
2009/7/3,3327.135,3584.858,114.617,10281.1,1148.7092,896.42,18203.4004
2009/7/6,3374.753,3592.64,114.616,10232.09,1139.7555,898.72,17979.4102
2009/7/7,3340.493,3589.187,114.621,10221.93,1147.2605,881.03,17862.2695
2009/7/8,3352.269,3633.433,114.574,10315.28,1131.4946,879.56,17721.0703
2009/7/9,3396.304,3701.79,114.455,10385.7,1137.0626,882.68,17790.5898
2009/7/10,3398.31,3719.97,114.297,10408.31,1138.6657,879.13,17708.4199
2009/7/13,3361.011,3754.344,114.313,9959.75,1127.4233,901.05,17254.6309
2009/7/14,3454.753,3813.876,114.273,10073.17,1137.1193,905.84,17885.7305
2009/7/15,3493.305,3848.632,114.278,10324.81,1155.2497,932.68,18258.6602
2009/7/16,3501.24,3829.207,113.657,10231.25,1154.4528,940.74,18361.8691
2009/7/17,3519.809,3852.863,113.411,10278.89,1158.977,940.38,18805.6602
2009/7/20,3591.123,3919.426,113.322,10800.82,1179.328,951.13,19502.3691
2009/7/21,3539.832,3824.288,113.48,10576.4,1168.6422,954.58,19501.7305
2009/7/22,3606.924,3894.563,113.557,10600.25,1168.4496,954.07,19248.1699
2009/7/23,3651.969,3933.113,113.617,10605.46,1171.5273,976.29,19817.6992
2009/7/24,3667.556,3907.967,113.407,10468.48,1175.7037,979.26,19982.7891
2009/7/27,3743.626,3972.644,113.574,11353.04,1185.0799,982.18,20251.6191
2009/7/28,3755.818,4022.91,113.586,11199.77,1190.7089,979.62,20624.5391
2009/7/29,3558.508,3764.64,113.528,10312.92,1171.513,975.15,20135.5
2009/7/30,3634.818,3803.124,113.324,10212.82,1178.7282,986.75,20234.0801
2009/7/31,3734.622,3928.584,113.345,10551.37,1207.9183,987.48,20573.3301
2009/8/3,3787.033,4020.266,113.247,10664.35,1237.6948,1002.63,20807.2598
2009/8/4,3786.615,4069.346,113.237,10665.26,1239.6807,1005.65,20796.4297
2009/8/5,3740.936,4069.338,113.16,10827.76,1243.6815,1002.72,20494.7695
2009/8/6,3663.12,4015.421,113.194,10391.77,1240.2609,997.08,20899.24
2009/8/7,3555.095,3893.125,113.221,9981.98,1224.3164,1010.48,20375.3691
2009/8/10,3544.539,3933.047,113.229,9944.1,1255.9643,1007.1,20929.5195
2009/8/11,3556.375,3953.293,113.22,9908.34,1266.3732,994.35,21074.2109
2009/8/12,3397.4,3770.137,113.247,9319.13,1260.2424,1005.81,20435.2402
2009/8/13,3440.82,3778.14,113.291,9556.48,1286.1636,1012.73,20861.3008
2009/8/14,3344.462,3609.698,113.211,9217.61,1273.6809,1004.09,20893.3301
2009/8/17,3140.271,3358.103,113.104,8303.99,1234.9639,979.73,20137.6504
2009/8/18,3171.986,3424.775,113.084,8649.24,1241.7791,989.67,20306.2695
2009/8/19,3014.568,3247.526,113.094,8087.08,1215.5257,996.46,19954.2305
