time,hs_300,zz_500,sz_bond,sw_gold,nh_goods,us_spx,hk_hsi
2009/1/5,0.035260407,0.040822139,0.00027635,0.030976243,0.026221181,0.026439515,0.078557777
2009/1/6,0.031283182,0.034851118,-0.000691019,0.012046002,0.029338484,0.007786738,-0.003462824
2009/1/7,-0.005997478,0.006209492,0.000880966,-0.021438471,0.003236375,-0.030469134,-0.03423952
2009/1/8,-0.022616879,-0.025317296,-0.000336748,-0.045843711,-0.016530651,0.003391364,-0.03888138
2009/1/9,0.01595996,0.026667503,-0.000181373,0.018659477,0.021753336,-0.021533208,-0.002672132
2009/1/12,0.001209674,0.014167822,-0.000241882,0.017173963,0.011872252,-0.022822626,-0.028676587
2009/1/13,-0.023442475,-0.026625024,0.003071006,-0.048190199,-0.027679161,0.001756552,-0.021922775
2009/1/14,0.041274534,0.036966434,-0.001128965,0.023639743,0.029871348,-0.034032484,0.002671324
2009/1/15,-0.000189253,0.009673605,-0.006245209,-0.013135419,-0.015719009,0.001328305,-0.034266211
2009/1/16,0.017916429,0.006659387,-0.001458789,0.02875568,0.016904006,0.007533126,0.000947209
2009/1/19,0.011118168,-0.001288385,-0.000869338,-0.001670761,0.002299771,0,0.006353006
2009/1/20,0.006303184,0.009997256,-0.006036622,-0.005247812,-0.006632701,-0.054261984,-0.028916401
2009/1/21,-0.001719835,0.00125754,-0.010219337,0.001764991,-0.008182079,0.042572033,-0.02945315
2009/1/22,0.011234518,0.017318743,0.005122723,0.01158131,-0.008773247,-0.015278458,0.005891897
2009/1/23,-0.005822102,-0.008136749,0.001853927,-0.001956187,0.001269954,0.005363236,-0.006291727
2009/2/2,0.011923134,0.030228595,0.001008989,0.092844932,-0.007372709,-0.007855765,0.022240665
2009/2/3,0.024891989,0.026896109,-0.003100396,0.019102962,0.026268918,0.01570993,-0.006599552
2009/2/4,0.02690204,0.022628497,-0.002677755,0.016252114,0.010659161,-0.007517662,0.022213866
2009/2/5,-0.007153898,-0.016272282,-0.007036766,-0.011515596,-0.003117835,0.016233194,0.008765191
2009/2/6,0.039341474,0.044683424,0.002678922,0.078455078,0.024102863,0.026540681,0.035491588
2009/2/9,0.026200276,0.033706538,0.000221444,0.060456241,0.019175021,0.001484047,0.008315333
2009/2/10,0.013013474,0.028281229,-0.000186009,0.028617807,-0.001873957,-0.05036862,0.008071018
2009/2/11,0.001881967,0.001821413,0.002203316,0.027179579,-0.027271253,0.007923456,-0.024905115
2009/2/12,-0.005503854,0.01858878,0.001942674,0.037029721,0.01060381,0.001737641,-0.023231461
2009/2/13,0.034226372,0.035225553,0.001428106,0.01938819,0.005736193,-0.010048038,0.024372671
2009/2/16,0.025994457,0.017469974,0.000836522,-0.007242982,-0.018757705,0,-0.007314952
2009/2/17,-0.031751567,-0.04143754,-0.000669161,0.037657521,0.006141059,-0.046629446,-0.038675634
2009/2/18,-0.046971435,-0.039350599,0.000132107,0.002249979,-0.029195066,-0.000950817,0.005438826
2009/2/19,0.009867916,0.020518362,0.000704275,-0.014841649,-0.004963099,-0.012096922,0.000565329
2009/2/20,0.019776931,0.032747703,0.001231289,0.017190284,0.00333332,-0.011478573,-0.02520807
2009/2/23,0.027830931,0.033581222,-0.000457159,0.084558789,0.018615742,-0.035315356,0.036792025
2009/2/24,-0.0461136,-0.041794683,0.001476223,0.050597332,-0.015868928,0.039320053,-0.028999154
2009/2/25,0.001042965,0.006102089,0.000728521,-0.030960111,0.013584299,-0.010715038,0.016010558
2009/2/26,-0.050769663,-0.074841358,-0.000114071,-0.085319157,0.004082437,-0.015905668,-0.008505041
2009/2/27,-0.022951708,-0.061896273,8.78E-06,-0.020671262,-0.007625299,-0.023846498,-0.006486325
2009/3/2,0.011231769,0.025271799,0.000219353,0.070899251,-0.000489167,-0.047741863,-0.039330924
2009/3/3,-0.010454212,0.00844333,-0.000991859,-0.049922745,5.20E-05,-0.006427392,-0.023291771
2009/3/4,0.064619365,0.058868559,-0.000333767,0.021606522,0.015254879,0.02347539,0.024402617
2009/3/5,0.008614305,0.007578498,-0.001538523,0.013414794,0.001675632,-0.043463291,-0.009771758
2009/3/6,-0.007990033,-0.006800346,-7.92E-05,0.007824829,0.001923257,0.001215289,-0.024011685
2009/3/9,-0.037450165,-0.045275861,0.001116852,-0.052758528,-0.009556745,-0.010074281,-0.049605065
