,time,hs_300,zz_500,sz_bond,sw_gold,nh_goods,us_spx,hk_hsi
301,2010-03-31,0.1287598498576967,0.12924284309996592,0.2211018986631408,0.13033904686258424,0.1318697231163378,0.13011523673944492,0.128571458921039
361,2010-06-30,0.1230261509942003,0.14521844608034212,0.2548126577287589,0.11730514218078333,0.118682750812866,0.12057219072404153,0.12038271307950532
424,2010-09-30,0.11072353589770235,0.13069660148185924,0.24938525951006324,0.10557462796390144,0.1068144757315794,0.15385273658361182,0.1429528094090843
485,2010-12-31,0.1162722734885123,0.13762197540490453,0.23989458382441065,0.0950171651675113,0.09613302815842338,0.18640348740809584,0.12865752846817588
543,2011-03-31,0.10464504613966107,0.12385977786441409,0.21590512544196958,0.08551544865076018,0.15696298987010943,0.19731987427300005,0.1157917756213583
604,2011-06-30,0.09418054152569497,0.11147380007797268,0.21614229362372786,0.08313054724218048,0.18480261870779152,0.20605763485986753,0.10421259805922246
669,2011-09-30,0.08476248737508299,0.10032642007017542,0.21772771497457663,0.07481749251832086,0.20583290857645398,0.22274166891954292,0.09379133825330022
729,2011-12-30,0.07628623863902033,0.09029377806360815,0.24338068473210483,0.06733574326910419,0.20282902723549928,0.23546235125070014,0.08441220442867078
787,2012-03-30,0.06865761477547438,0.08126440025724734,0.2960739856640504,0.06060216894219377,0.18254612451373012,0.23488474672219276,0.07597098398580371
846,2012-06-29,0.06179185329792695,0.07313796023152261,0.34459248926104324,0.05454195204797439,0.16429151206695436,0.23327036990070293,0.06837388558722333
911,2012-09-28,0.055612668077979266,0.0658241642484774,0.41013323991195877,0.04908775687751959,0.14786236086337637,0.2099433330965013,0.0615364970782004
972,2012-12-31,0.050597110134677103,0.05978743052843662,0.4507939707478097,0.044724655857913846,0.13362179789397596,0.20454768657176936,0.055928528164822765
1028,2013-03-29,0.045537399121209396,0.05380868747559296,0.45325199501312796,0.040252190272261,0.12025961810466988,0.23655549657571168,0.05033567534834049
1085,2013-06-28,0.04098365920908846,0.048427818728033666,0.4639950979932363,0.0362269712450349,0.1082336562942029,0.2568316444840173,0.045302107813506444
1149,2013-09-30,0.036885293288269685,0.0435850368552303,0.47083726361316497,0.03260427412053141,0.09741029066478261,0.27790680461647754,0.04077189703226046
1210,2013-12-31,0.03319676395944364,0.058639976877500555,0.4263142502202159,0.029343846708478265,0.08766926159830435,0.298274541121221,0.06656213368661722
1268,2014-03-31,0.029877087563499275,0.09887760090780418,0.3836828251981943,0.026409462037729307,0.07890233543852818,0.32234546529105235,0.0599059203179555
1329,2014-06-30,0.026889378807152014,0.1046277103819743,0.3816238221921885,0.023768515833991616,0.07101210189470979,0.3381637696831523,0.05391532828616034
1394,2014-09-30,0.024200440926454243,0.10532527647775186,0.3810379438856176,0.021391664250626875,0.06391089170526189,0.350276257681797,0.05385808944388649
1455,2014-12-31,0.021780396833809963,0.11236890075077288,0.3940807171077604,0.0192524978255658,0.057519802534738484,0.34652591242120073,0.04847228049949898
1512,2015-03-31,0.019602357150428965,0.11438690225036777,0.43526668703198057,0.01732724804300922,0.051767822281264635,0.31802442153442523,0.04362505244954908
1574,2015-06-30,0.017642121435386068,0.14067092047128327,0.45314979247911336,0.015594523238708299,0.046591040053138175,0.2870894967900432,0.03926254720459418
1638,2015-09-30,0.015877909291847462,0.1553735518877069,0.4790650897682855,0.01403507091483747,0.04193193604782436,0.25838054711146397,0.03533629248413476
1699,2015-12-31,0.014290118362662717,0.14276768050610783,0.5282270988548491,0.012631563823353724,0.03773874244304192,0.23254249240031757,0.031802663235721285
1758,2016-03-31,0.012861106526396446,0.1316841100996065,0.572211192503872,0.011368407441018353,0.03396486819873773,0.20928824316028583,0.028622396912149156
1819,2016-06-30,0.011574995873756802,0.11851569909007698,0.6149900732534848,0.010231566696916517,0.030568381378863956,0.1883594188442869,0.025760157220934242
1883,2016-09-30,0.010417496286766872,0.10666412918106928,0.6534910659276034,0.009208410027586487,0.027511543241284474,0.1695234769598582,0.023184141499261776
1943,2016-12-30,0.009375746661841261,0.09599771626296236,0.6881419593285705,0.008287569028025457,0.024760388919603447,0.1525711292638724,0.02086572735267691
2002,2017-03-31,0.008438171995657136,0.08639794463666613,0.6645500798630279,0.0074588121252229115,0.022284350027866044,0.19209169987157282,0.01877915461740922
2062,2017-06-30,0.007594354796091423,0.07775815017299954,0.6174631832368123,0.006712930912700621,0.020055915025082804,0.2535144185243314,0.0169012391556683
2127,2017-09-29,0.006834919316496267,0.06998233515570168,0.5557168649131335,0.006041637821463328,0.020314697228481365,0.32589860296595685,0.01521111524010147
2187,2017-12-29,0.006151427384850103,0.06298410164014333,0.5001451784218202,0.005437474039316995,0.03555933807542627,0.3760326320995828,0.013690003716099644
2246,2018-03-30,0.005536284646365093,0.056685691476138174,0.45013066057963813,0.004893726635388596,0.0320034042678851,0.41487966011060895,0.03587071212349849
